TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA1.0 | WEEK3 | 0.18077566637758227
TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA1.0 | WEEK4 | 0.17931052603146766
TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA1.0 | WEEK5 | 0.1785052947810604
TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA1.0 | WEEK6 | 0.17868222320290458
TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA1.0 | WEEK7 | 0.17967663353846747
TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA1.0 | WEEK8 | 0.179621129593221
TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA0.8 | WEEK0 | 0.18446449902384762
TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA0.8 | WEEK1 | 0.15939001845750908
TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA0.8 | WEEK2 | 0.16278731351724224
TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA0.8 | WEEK3 | 0.16459204447435855
TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA0.8 | WEEK4 | 0.16287464896549017
TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA0.8 | WEEK5 | 0.1640359305167159
TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA0.8 | WEEK6 | 0.16303629643065762
TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA0.8 | WEEK7 | 0.1636789774833021
TPdef | PLNONE | CF2000-0500 | SO12 | QU2 | MA0.8 | WEEK8 | 0.1637947535263123
TPdef | PLNONE | CF2000-0500 | SO12 | QU3 | MA1.0 | WEEK0 | 0.19863030035836132
TPdef | PLNONE | CF2000-0500 | SO12 | QU3 | MA1.0 | WEEK1 | 0.17420198805473802
TPdef | PLNONE | CF2000-0500 | SO12 | QU3 | MA1.0 | WEEK2 | 0.1773497295020072
TPdef | PLNONE | CF2000-0500 | SO12 | QU3 | MA1.0 | WEEK3 | 0.17948444227589144
TPdef | PLNONE | CF2000-0500 | SO12 | QU3 | MA1.0 | WEEK4 | 0.17847489379795536
TPdef | PLNONE | CF2000-0500 | SO12 | QU3 | MA1.0 | WEEK5 | 0.17733263288181744
TPdef | PLNONE | CF2000-0500 | SO12 | QU3 | MA1.0 | WEEK6 | 0.17618403051109016
TPdef | PLNONE | CF2000-0500 | SO12 | QU3 | MA1.0 | WEEK7 | 0.17601368349091645
TPdef | PLNONE | CF2000-0500 | SO12 | QU3 | MA1.0 | WEEK8 | 0.17568568342383628
TPdef | PLNONE | CF2000-0500 | SO12 | QU3 | MA0.8 | WEEK0 | 0.18427332156876658
TPdef | PLNONE | CF2000-0500 | SO12 | QU3 | MA0.8 | WEEK1 | 0.15920572775049413
TPdef | PLNONE | CF2000-0500 | SO12 | QU3 | MA0.8 | WEEK2 | 0.15976077636571676
TPdef | PLNONE | CF2000-0500 | SO12 | QU3 | MA0.8 | WEEK3 | 0.16089737074567637
TPdef | PLNONE | CF2000-0500 | SO12 | QU3 | MA0.8 | WEEK4 | 0.16234590955189496
TPdef | PLNONE | CF2000-0500 | SO12 | QU3 | MA0.8 | WEEK5 | 0.1618716807368506
TPdef | PLNONE | CF2000-0500 | SO12 | QU3 | MA0.8 | WEEK6 | 0.16101669286899964
